brand,batch_no,batch_start,mash_pH,final_runnings_pH,preboil_gravity,knockout_gravity,knockout_pH
bba,554,5/1/24 5:28,5.35,5.52,10.8,12.1,5.04
bba,554,5/1/24 9:13,5.28,5.43,11,12.4,5.12
bba,565,5/17/24 5:31,5.12,5.22,10.8,12.1,5.01
bba,565,5/17/24 9:05,5.27,5.2,12.2,12.1,5.12
bba,577,6/17/24 8:16,5.24,5.37,10.9,12.4,5.11
bba,582,7/1/24 5:31,5.24,5.25,10.9,12.3,4.97
bba,582,7/1/24 9:09,5.3,5.18,11,12.1,4.97
bba,593,7/29/24 5:30,5.25,5.32,10.7,12.2,4.98
bba,593,7/29/24 9:07,5.3,5.04,11.1,12.4,5.07
bba,607,9/11/24 8:33,5.39,5.37,11.1,12.4,5.07
bba,617,10/2/24 5:30,5.21,5.32,11.5,12.3,5.02
bba,617,10/2/24 9:02,5.32,5.22,11.5,12.1,5.09
bba,620,10/14/24 8:31,5.05,5.21,11.7,12.3,4.9
bba,628,10/30/24 5:34,5.28,5.36,10.9,12,5.05
bba,628,10/30/24 9:14,5.37,5.38,10.7,12.7,5.12
bba,647,12/18/24 5:37,5.32,5.3,10.9,12.4,4.95
bba,647,12/18/24 9:04,5.32,5.44,11.5,12,5.22
bba,659,1/29/25 9:10,5.24,5.27,10.3,12,4.96
bba,678,3/10/25 5:35,5.31,5.38,10.7,11.9,5.08
bba,678,3/10/25 9:15,5.34,5.33,11,11.7,5.09
bba,688,4/2/25 5:30,5.28,5.31,11.3,12,5.03
bba,688,4/2/25 8:55,5.3,5.36,11.3,11.9,5.15
bba,695,4/16/25 5:33,5.32,5.38,11.5,12.1,5.09
bba,695,4/16/25 9:11,5.27,5.3,10.9,11.7,5.14
bri,4,6/5/20 7:13,3.86,5.3,14.2,15,4.87
bri,25,8/27/20 7:09,5.38,5.15,,15.4,4.94
bri,46,11/10/20 6:57,5.23,,12,13.5,5.08
bri,65,2/1/21 7:50,5.17,5.23,13,14.1,5.13
bri,84,4/7/21 7:15,5.27,5.46,12.4,13.6,5.26
bri,107,5/28/21 7:07,5.21,5.18,13.4,15.5,5.01
bri,135,8/11/21 5:50,5.14,5.17,13.4,14.9,5.03
bri,148,9/22/21 7:50,5.21,5.07,14.7,15.1,4.99
bri,176,12/8/21 7:30,5.32,5.31,14.6,15.3,5.14
bri,181,12/22/21 7:30,5.28,5.38,14.4,14.8,5.12
bri,200,2/16/22 9:35,,5.46,15.2,15.5,5.22
bri,217,3/30/22 5:40,5.21,,13.6,14.9,5.08
bri,224,4/13/22 9:20,5.26,5.43,12.4,14.5,5.13
bri,231,4/27/22 5:40,5.24,5.42,13.4,14.6,5.13
bri,242,5/18/22 7:43,5.3,5.41,13,15,5.28
bri,247,5/25/22 9:20,5.12,5.28,15,15.3,5.11
bri,256,6/15/22 7:33,,5.4,13.4,14.6,5.06
bri,265,7/13/22 5:30,5.18,5.27,13.6,15.3,5.01
bri,284,8/24/22 8:10,5.18,5.27,13.8,14.5,5.05
bri,294,9/14/22 5:38,5.19,5.21,12.3,14.3,5
bri,320,11/30/22 7:10,5.32,5.38,13.5,14.6,5.13
bri,329,1/11/23 8:33,5.13,5.27,13.4,15.1,5
bri,340,2/1/23 5:40,5.3,5.29,14.7,15.1,4.97
bri,344,2/8/23 8:25,,5.35,15.1,15.5,5.17
bri,349,2/20/23 9:34,5.18,5.34,13.9,15.2,5.11
bri,356,3/3/23 5:07,5.26,5.26,13.3,14.9,5.15
bri,356,3/3/23 9:19,5.24,5.29,13.6,15,5.14
bri,366,3/20/23 5:41,,5.3,14.1,15,5.09
bri,376,4/5/23 8:04,5.28,5.34,13.8,15.2,5.18
bri,382,4/17/23 5:45,5.26,5.37,14.3,15.3,5.12
bri,408,6/9/23 7:34,5.22,5.31,13.3,14.5,5.04
bri,420,7/5/23 9:49,5.14,5.14,14.3,15.4,4.94
bri,424,7/12/23 5:44,5.06,5.18,13.9,15,4.93
bri,436,8/2/23 7:47,5.25,5.18,13.3,14.7,5.04
bri,455,8/23/23 5:42,5.14,5.18,13.8,14.7,5.05
bri,463,9/18/23 5:43,5.26,5.35,13.3,14.7,5.1
bri,485,11/8/23 9:45,5.31,5.36,14.8,15.1,5.07
bri,490,11/20/23 8:20,5.26,5.24,14.2,15.1,5.05
